id_2,population
50010001,"44,517"
50010002,"115,427"
50010003,"88,903"
50010004,"33,584"
50010005,"76,503"
50010006,"55,238"
50020001,"19,593"
50020002,"142,413"
50020003,"120,345"
50020004,"381,688"
50020005,"269,548"
50020006,"114,266"
50020007,"72,080"
50020008,"30,654"
50020009,"86,339"
50020010,"155,491"
50020011,"30,137"
50030001,"604,768"
50030002,"95,638"
50030003,"170,414"
50030004,"58,583"
50030005,"114,615"
50030006,"145,375"
50030007,"58,278"
50030008,"69,856"
50030009,"72,019"
50030010,"255,909"
50030011,"148,188"
50030012,"111,376"
50030013,"111,340"
50030014,"52,472"
50030015,"57,856"
50030016,"68,040"
50030017,"180,494"
50040001,"73,737"
50040002,"56,532"
50040003,"138,871"
50040004,"88,427"
50040005,"115,570"
50040006,"96,984"
50040007,"46,018"
50040008,"32,547"
50040009,"36,125"
50040010,"100,001"
50050001,"170,513"
50050002,"45,819"
50050003,"129,608"
50050004,"85,213"
50050005,"82,484"
50050006,"126,061"
50050007,"128,971"
50050008,"155,781"
50050009,"149,314"
50050010,"119,119"
50050011,"103,499"
50050012,"62,692"
50050013,"91,555"
50050014,"49,468"
50050015,"142,895"
50050016,"69,506"
50060001,"105,516"
50060002,"95,767"
50060003,"124,258"
50060004,"170,922"
