,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0,0,,,0,,,,1,1,,,4170,1001,26,0,70,,,0,0,157,1189,0,0,,0,0,,0,0,,8,,,41,0,0,0,0,0,5146,0,,0,0,2,0,,,,13,0,0,0,,,0,0,,,1,53,0,1414,0,,0,6,26,0,0,0,7,0,,,,,0,566,525,,,,0,0,,1,12236,0,,,716,,,,,0,,0,0,0,0,,0,,,157,1,879,0,252765,30,17,,285,762,0,0,,,,8,,423,0,,,271,1,0,3,0,0,0,25,,3,0,,0,0,0,57,0,0,0,,,0,0,,0,,0,,0,0,,0,0,5,,,0,3826,,285,6,0,0,,,,,1504,10,178182,,,,0,0,0,0,135,,18,0,,174,,0,10005,0,,,,0,,,0,0,,0,36715,0,,,0,5,,,3,0,,10,,75,54,,13,,0,,0,3276,531,,,3946,0,0,0,0,,0,0,,0,1705,1,,,0,934,802,7609,7185,0,285,,0,0,,,,,0,0,0
3,,0,0,0,,,0,,,,9,0,,,707,932,0,0,0,,,0,0,0,3861,0,0,,0,0,,0,0,,2,,,321,0,0,0,0,0,3218,0,,0,0,13,0,,,,8,0,0,0,,,0,42,,,88,133,0,106,0,,0,23,27,0,0,0,3,0,,,,,0,235,998,,,,0,0,,0,5113,0,,,55091,,,,,0,,0,0,0,0,,0,,,81,8,0,0,0,0,33,,2,80003,0,0,,,,0,,9,0,,,0,0,0,1,0,0,0,20,,0,101,,16402,0,0,0,0,0,28,,,0,0,,1,,0,,0,1219,,0,0,0,,,0,404,,0,0,0,0,,,,,576,0,0,,,,0,0,0,0,11,,31,11,,0,,16,89,0,,,,0,,,0,0,,0,0,0,,,0,0,,,82,0,,53,,0,250,,0,,0,,0,1008,577,,,0,0,0,0,0,,0,0,,0,1534,0,,,0,0,0,2879,21003,0,0,,3,0,,,,,0,0,0
4,,0,0,0,,,0,,,,13,7,,,374,437,0,0,9,,,2,0,54,4180,0,0,,0,0,,0,0,,69,,,106,0,0,0,0,0,13392,0,,0,4,32,0,,,,6,0,1,0,,,1,17,,,13,291,0,221,18,,0,18,473,0,0,1,6,94,,,,,0,475,261082,,,,8,0,,0,7422,2,,,175,,,,,0,,0,0,0,0,,0,,,174,16,2,291,5,1455,89,,7367,4936,0,0,,,,4134,,141,104,,,180,0,0,3,1043,0,0,865,,0,38,,0,0,0,188,0,454,21,,,159,0,,17,,0,,0,0,,4012,0,150,,,0,726,,2,13,50,0,,,,,330,3,0,,,,1,0,0,2,63,,165,55,,17,,131,530,0,,,,0,,,0,0,,0,810,450,,,0,8,,,5,0,,172,,2,6665,,0,,0,,0,879,3001,,,34,1,0,0,0,,0,0,,3547,530,0,,,7,148,103,6306,6200,0,2,,16,0,,,,,523,0,0
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,0,0,0,,,0,,,,2,0,,,75,43,0,0,0,,,0,0,0,494,0,0,,0,1,,0,427,,950,,,1,0,0,9,0,226,383,713,,2,3,8,0,,,,7,0,4900,25712,,,0,0,,,0,23,4,20,0,,0,5,4,0,6,43,0,0,,,,,0,70,2654,,,,95,0,,0,13,0,,,1,,,,,0,,28,1,0,0,,0,,,10,5,0,0,0,0,58,,0,244,0,0,,,,0,,0,1,,,0,0,0,0,0,0,0,0,,0,13,,0,0,0,0,0,54,0,,,0,0,,9,,0,,0,0,,0,34,4789,,,0,670,,1,0,0,0,,,,,61,0,0,,,,0,0,0,2,9,,8,19706,,0,,0,70,95,,,,0,,,0,0,,679,0,0,,,0,0,,,0,0,,4241,,0,440,,0,,0,,17,93,862,,,0,132,0,0,0,,0,0,,0,0,0,,,16,0,0,1911,1644,0,0,,28,0,,,,,0,2201,0
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
